Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;13;Material;170166-90006/2022;Forno Elétrico, Microondas;CNBS (Catálogo Nacional de Bens e Serviços);Material;7310;EQUIPAMENTOS PARA COZINHAR, ASSAR E SERVIR ALIMENTOS;;;;;-;0,0000;0,0000;1300,0000;0,0000;15/05/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;14;Material;170166-90006/2022;Forno Elétrico, Microondas;CNBS (Catálogo Nacional de Bens e Serviços);Material;7310;EQUIPAMENTOS PARA COZINHAR, ASSAR E SERVIR ALIMENTOS;;;;;-;0,0000;0,0000;700,0000;0,0000;15/05/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;15;Locação de Imóveis;170166-90011/2022;Locação de Imóvel;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;721;SERVIÇOS IMOBILIÁRIOS RELATIVOS A LOCAÇÃO OU ARRENDAMENTO;;;4316;LOCAÇÃO DE IMÓVEL;UN;1,0000;10000,0000;10000,0000;0,0000;15/05/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;16;Material;170166-90007/2022;Mobiliário e Equipamentos para Escritório( Mesa, cadeiras, sofás, fragmentador de papel);CNBS (Catálogo Nacional de Bens e Serviços);Material;7110;MOBILIÁRIO PARA ESCRITÓRIO;313;CADEIRA ESCRITÓRIO;483572;MATERIAL ESTRUTURA: MADEIRA COMPENSADA, MATERIAL REVESTIMENTO ASSENTO E ENCOSTO: VINIL, MATERIAL ENCOSTO: MADEIRA E ESPUMA INJETADA, MATERIAL ASSENTO: MADEIRA E ESPUMA INJETADA, TIPO BASE: FIXA, APOIO BRAÇO: SEM BRAÇOS, QUANTIDADE PÉS: 4;-;8,0000;300,0000;2400,0000;0,0000;13/09/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;17;Material;170166-90007/2022;Mobiliário e Equipamentos para Escritório( Mesa, cadeiras, sofás, fragmentador de papel);CNBS (Catálogo Nacional de Bens e Serviços);Material;7110;MOBILIÁRIO PARA ESCRITÓRIO;313;CADEIRA ESCRITÓRIO;483572;MATERIAL ESTRUTURA: MADEIRA COMPENSADA, MATERIAL REVESTIMENTO ASSENTO E ENCOSTO: VINIL, MATERIAL ENCOSTO: MADEIRA E ESPUMA INJETADA, MATERIAL ASSENTO: MADEIRA E ESPUMA INJETADA, TIPO BASE: FIXA, APOIO BRAÇO: SEM BRAÇOS, QUANTIDADE PÉS: 4;-;8,0000;300,0000;2400,0000;0,0000;13/09/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;18;Material;170166-90007/2022;Mobiliário e Equipamentos para Escritório( Mesa, cadeiras, sofás, fragmentador de papel);CNBS (Catálogo Nacional de Bens e Serviços);Material;7195;MOBILIÁRIOS DIVERSOS E ACESSÓRIOS;;;;;-;0,0000;0,0000;5000,0000;0,0000;13/09/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;19;Material;170166-90007/2022;Mobiliário e Equipamentos para Escritório( Mesa, cadeiras, sofás, fragmentador de papel);CNBS (Catálogo Nacional de Bens e Serviços);Material;7110;MOBILIÁRIO PARA ESCRITÓRIO;14397;MESA CENTRO;455633;MATERIAL ESTRUTURA: TUBO AÇO, MATERIAL TAMPO: VIDRO, ESPESSURA TAMPO: 8, COMPRIMENTO: 70, LARGURA: 70, ALTURA: 40 ., COR ESTRUTURA: GRAFITE;-;1,0000;300,0000;300,0000;0,0000;13/09/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;20;Material;170166-90007/2022;Mobiliário e Equipamentos para Escritório( Mesa, cadeiras, sofás, fragmentador de papel);CNBS (Catálogo Nacional de Bens e Serviços);Material;7110;MOBILIÁRIO PARA ESCRITÓRIO;340;MESA REUNIÃO OVAL;325545;MATERIAL: MADEIRA, TIPO MADEIRA: AGLOMERADO ALTA DENSIDADE, ACABAMENTO SUPERFICIAL: REVESTIMENTO COM MADEIRA LAMINADA, TIPO REVESTIMENTO: MÓGNO, COMPRIMENTO: 340, LARGURA: 125, ALTURA: 74, QUANTIDADE PÉS: 4;UN;1,0000;5000,0000;5000,0000;0,0000;13/09/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;21;Material;170166-90007/2022;Mobiliário e Equipamentos para Escritório( Mesa, cadeiras, sofás, fragmentador de papel);CNBS (Catálogo Nacional de Bens e Serviços);Material;7110;MOBILIÁRIO PARA ESCRITÓRIO;342;MESA REUNIÃO REDONDA;483221;MATERIAL: MADEIRA, TIPO MADEIRA: MDP, DIÂMETRO: 1,10, ALTURA: 0,74, ESPESSURA TAMPO: 15, COR TAMPO: CINZA, CARACTERÍSTICAS ADICIONAIS: SAPATAS REGULADORAS DE NÍVEL, MATERIAL ESTRUTURA: AÇO, COR ESTRUTURA: CINZA;UN;2,0000;1000,0000;2000,0000;0,0000;13/09/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;22;Material;170166-90007/2022;Mobiliário e Equipamentos para Escritório( Mesa, cadeiras, sofás, fragmentador de papel);CNBS (Catálogo Nacional de Bens e Serviços);Material;7105;MOBILIÁRIO DOMÉSTICO;12177;SOFÁ;269306;MATERIAL ESTOFAMENTO: ESPUMA COM DENSIDADES PARA ASSENTO-D26 E 28, ENCOS, REVESTIMENTO: COURO, COR: CINZA, CARACTERÍSTICAS ADICIONAIS: APOIA BRAÇOS, ESTOFAMENTO ENCOSTO E ASSENTO REMOVÍ, QUANTIDADE ASSENTOS: 2;UN;4,0000;1500,0000;6000,0000;0,0000;13/09/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;23;Material;170166-90007/2022;Mobiliário e Equipamentos para Escritório( Mesa, cadeiras, sofás, fragmentador de papel);CNBS (Catálogo Nacional de Bens e Serviços);Material;7105;MOBILIÁRIO DOMÉSTICO;12177;SOFÁ;481047;MATERIAL ESTRUTURA: MADEIRA, MATERIAL ESTOFAMENTO: ESPUMA COM DENSIDADES PARA ASSENTO-D26 E 28, ENCOS, REVESTIMENTO: TECIDO, QUANTIDADE ASSENTOS: 3, LARGURA: 1900, PROFUNDIDADE: 0,75, ALTURA: 0,85;UN;2,0000;2000,0000;4000,0000;0,0000;13/09/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;24;Material;170166-90007/2022;Mobiliário e Equipamentos para Escritório( Mesa, cadeiras, sofás, fragmentador de papel);CNBS (Catálogo Nacional de Bens e Serviços);Material;7490;MÁQUINAS DIVERSAS PARA ESCRITÓRIO;292;FRAGMENTADORA PAPEL;411219;ABERTURA: 240, TENSÃO MOTOR: 110/220, VELOCIDADE OPERAÇÃO: 5,4, DIMENSÕES PICOTE: 5,8, CAPACIDADE LIXEIRA: 35, TIPO: ELÉTRICO, CARACTERÍSTICAS ADICIONAIS: CORTA PAPÉIS COM CLIPS OU GRAMPOS, DISQUETE E CD, POTÊNCIA: 460, CAPACIDADE FRAGMENTAÇÃO: 30, NÍVEL RUÍDO: 65;UN;3,0000;4700,0000;14100,0000;0,0000;13/09/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;45;Material;170166-90008/2023;Aquisição de bebedouros.;CNBS (Catálogo Nacional de Bens e Serviços);Material;4110;EQUIPAMENTO PARA REFRIGERAÇÃO;3492;BEBEDOURO ÁGUA GARRAFÃO;401656;MATERIAL: AÇO GALVANIZADO, TIPO: ELÉTRICO DE COLUNA, ACABAMENTO EXTERNO: PINTURA EPOXI PÓ, CAPACIDADE: 20, VOLTAGEM: 220, COR: BRANCA, CARACTERÍSTICAS ADICIONAIS: GÁS R 134 A, 2 TORNEIRAS. PAINEL FRONTAL EM PLÁSTI;UN;10,0000;700,0000;7000,0000;0,0000;03/07/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;25;Material;170166-90007/2022;Mobiliário e Equipamentos para Escritório( Mesa, cadeiras, sofás, fragmentador de papel);CNBS (Catálogo Nacional de Bens e Serviços);Material;7195;MOBILIÁRIOS DIVERSOS E ACESSÓRIOS;14785;ESTAÇÃO TRABALHO;462107;TIPO: MULTIFUNCIONAL C/PAINEL DIVISOR, COMPONENTES: 2 TAMPOS MULTIFUNCIONAIS, COMPRIMENTO: 3000, LARGURA: 1320, ALTURA: 75, CARACTERÍSTICAS ADICIONAIS: 03 PAINÉIS DIVISORES, 06 LUGARES, REVESTIMENTO: LAMINADO MELAMÍNICO, ESTRUTURA: MADEIRA MDP, ESPESSURA TAMPO: 40, ATENDIMENTO: DUPLO, TIPO TAMPO: MADEIRA MDP, COMPRIMENTO TAMPO: 3, LARGURA TAMPO: 0,60;UN;1,0000;5000,0000;5000,0000;0,0000;13/09/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;26;Material;170166-90007/2022;Mobiliário e Equipamentos para Escritório( Mesa, cadeiras, sofás, fragmentador de papel);CNBS (Catálogo Nacional de Bens e Serviços);Material;7110;MOBILIÁRIO PARA ESCRITÓRIO;14303;CADEIRA DIGITADOR;270402;MATERIAL ESTRUTURA: TUBO AÇO, MATERIAL ASSENTO: ESPUMA POLIURETANO INJETADO, MATERIAL ENCOSTO: ESPUMA POLIURETANO INJETADO, MATERIAL REVESTIMENTO: COURVIN, TIPO BASE: GIRATÓRIA, COR REVESTIMENTO: PRETA, CARACTERÍSTICAS ADICIONAIS: BASE COM CAPA PROTEÇÃO EM POLIPROPILENO NA COR PRE, APOIO BRAÇO: COM BRAÇO EM FORMA DE "T", TRATAMENTO SUPERFICIAL ESTRUTURA: ANTI-FERRUGINOSO E PINTURA ELETROSTÁTICA EPOXI-PÓ, COR: PRETA, TIPO RODÍZIO: DUPLO, QUANTIDADE PÉS: 5;UN;6,0000;500,0000;3000,0000;0,0000;13/09/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;27;Material;170166-90008/2022;Utensílios, acessórios e ferramentas para cozinha;CNBS (Catálogo Nacional de Bens e Serviços);Material;7330;UTENSÍLIOS E FERRAMENTAS MANUAIS DE COZINHA;1287;JARRA;464962;MATERIAL: PLÁSTICO, CAPACIDADE: 02, MODELO: COM TAMPA E ALÇA, APLICAÇÃO: ÁGUA/SUCO, CARACTERÍSTICAS ADICIONAIS: LISA, SEM TAMPA;UN;10,0000;25,0000;250,0000;0,0000;12/09/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;28;Material;170166-90008/2022;Utensílios, acessórios e ferramentas para cozinha;CNBS (Catálogo Nacional de Bens e Serviços);Material;7320;EQUIPAMENTOS E APARELHOS DE COZINHA;;;;;-;0,0000;0,0000;20000,0000;0,0000;12/09/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;29;Material;170166-90008/2022;Utensílios, acessórios e ferramentas para cozinha;CNBS (Catálogo Nacional de Bens e Serviços);Material;7330;UTENSÍLIOS E FERRAMENTAS MANUAIS DE COZINHA;1115;GARRAFA TÉRMICA;385399;MATERIAL: PLÁSTICO RESISTENTE, CAPACIDADE: 1,80, COR: PRETA, CARACTERÍSTICAS ADICIONAIS: COM TAMPA EM PRESSÃO E AMPOLA EM VIDRO;UN;10,0000;30,0000;300,0000;0,0000;12/09/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;30;Material;170166-90008/2022;Utensílios, acessórios e ferramentas para cozinha;CNBS (Catálogo Nacional de Bens e Serviços);Material;7360;JOGOS, CONJUNTOS  E  EQUIPAMENTOS PARA PREPARAR E SERVIR ALIMENTOS;1133;BANDEJA;235313;MATERIAL: AÇO INOXIDÁVEL, DIÂMETRO: 45, FORMATO: REDONDO;-;5,0000;30,0000;150,0000;0,0000;12/09/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;31;Material;170166-90008/2022;Utensílios, acessórios e ferramentas para cozinha;CNBS (Catálogo Nacional de Bens e Serviços);Material;7350;LOUÇA E ARTIGOS DE MESA;1077;AÇUCAREIRO;248997;MATERIAL: AÇO INOXIDÁVEL, CAPACIDADE: 300, CARACTERÍSTICAS ADICIONAIS: COM TAMPA, COM PÁ PARA AÇÚCAR, FORMATO: OVAL;UN;5,0000;25,0000;125,0000;0,0000;12/09/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;32;Material;170166-90012/2022;Aquisição de Placas de Identificação;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;891;SERVIÇOS DE REPRODUÇÃO, PUBLICAÇÃO E IMPRESSÃO;;;24902;SERVIÇOS DE PLOTAGEM;UN;20,0000;1,0000;20,0000;0,0000;13/07/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;33;Material;170166-90012/2022;Aquisição de Placas de Identificação;CNBS (Catálogo Nacional de Bens e Serviços);Material;9905;CARTAZES, MOSTRUÁRIOS E PLACAS DE IDENTIFICAÇÃO;10832;PLACA IDENTIFICAÇÃO;474966;MATERIAL: ACM, ALTURA: 190, APLICAÇÃO: IDENTIFICAÇÃO DO ÓRGÃO, LARGURA: 750, FIXAÇÃO: REBITE, CARACTERÍSTICAS ADICIONAIS 1: CONFORME MODELO DO ÓRGÃO;UN;20,0000;1750,0000;35000,0000;0,0000;13/07/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;34;Serviço;170166-90014/2022;Contratação Serviços Contínuos de Fornecimento de Energia CGU/SC;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;691;SERVIÇOS DE DISTRIBUIÇÃO DE ELETRICIDADE E DISTRIBUIÇÃO DE  GÁS ATRAVÉS DE TUBULAÇÃO;;;;;-;0,0000;0,0000;33000,0000;0,0000;13/07/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;35;Serviço;170166-90013/2022;Contratação dos Serviços Continuados de Manutenção em Elevadores;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;871;SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS;;;;;-;0,0000;0,0000;50031,7900;0,0000;13/07/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;36;Serviço;170166-90013/2022;Contratação dos Serviços Continuados de Manutenção em Elevadores;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;871;SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS;;;;;-;0,0000;0,0000;12390,6200;0,0000;13/07/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;37;Serviço;170166-90015/2022;Serviços contínuos de assinatura de publicações;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;836;SERVIÇOS DE PUBLICIDADE;;;;;-;0,0000;0,0000;40800,0000;0,0000;12/10/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;38;Material;170166-90017/2022;Aquisição de Componentes para Climatização e Refrigeração;CNBS (Catálogo Nacional de Bens e Serviços);Material;4130;COMPONENTES DE EQUIPAMENTOS PARA REFRIGERAÇÃO E AR  CONDICIONADO;15112;EVAPORADOR;428608;CAPACIDADE: 48.000, TENSÃO ALIMENTAÇÃO: 220, CARACTERÍSTICAS ADICIONAIS: COM RESISTÊNCIA DE DEGELO, APLICAÇÃO: CÂMARA FRIGORÍFICA, LARGURA: 45, ALTURA: 182, ESPESSURA: 48;UN;15,0000;13000,0000;195000,0000;0,0000;12/09/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;39;Material;170166-90017/2022;Aquisição de Componentes para Climatização e Refrigeração;CNBS (Catálogo Nacional de Bens e Serviços);Material;4130;COMPONENTES DE EQUIPAMENTOS PARA REFRIGERAÇÃO E AR  CONDICIONADO;15112;EVAPORADOR;239806;CAPACIDADE: 12.000, TENSÃO ALIMENTAÇÃO: 220, CARACTERÍSTICAS ADICIONAIS: COM CONTROLE REMOTO SEM FIO;UN;25,0000;1600,0000;40000,0000;0,0000;12/09/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;40;Material;170166-90018/2022;Aquisição de Equipamentos para digitalização;CNBS (Catálogo Nacional de Bens e Serviços);Material;3610;EQUIPAMENTO PARA IMPRESSÃO, DUPLICAÇÃO E ENCADERNAÇÃO;;;;;-;0,0000;0,0000;10000,0000;0,0000;14/11/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;41;Material;170166-90004/2022;Aquisição de Bens - Aquisição de Televisores;CNBS (Catálogo Nacional de Bens e Serviços);Material;7730;FONÓGRAFOS, RÁDIOS E TELEVISORES DE TIPO DOMÉSTICO;12609;TELEVISOR;470801;TAMANHO TELA: 42, VOLTAGEM: BIVOLT, CARACTERÍSTICAS ADICIONAIS: SMART TV, FULL HD, ENTRADAS HDMI/USB, CONVERSOR DI, TIPO TELA: LED, ACESSÓRIOS: CONTROLE REMOTO/SLEEP TIME/VHF/UHF E TV A CABO;UN;14,0000;2500,0000;35000,0000;0,0000;14/11/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;42;Material;170166-90016/2022;Aquisição de Esquadrias Metálicas padronizadas;CNBS (Catálogo Nacional de Bens e Serviços);Material;5520;ESQUADRIAS;17016;ESQUADRIA;343022;MATERIAL: ALUMÍNIO ANODIZADO, ESPESSURA: 25, ACABAMENTO: FOSCO;UN;18,0000;2000,0000;36000,0000;0,0000;15/08/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;43;Material;170166-90001/2023;Água mineral 20l;CNBS (Catálogo Nacional de Bens e Serviços);Material;8960;BEBIDAS NÃO ALCOÓLICAS;19555;ÁGUA MINERAL NATURAL;445485;TIPO EMBALAGEM: RETORNÁVEL, MATERIAL EMBALAGEM: PLÁSTICO, TIPO: SEM GÁS;GRR;1030,0000;14,9200;15367,6000;0,0000;13/02/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;44;Material;170166-90001/2023;Água mineral 20l;CNBS (Catálogo Nacional de Bens e Serviços);Material;8960;BEBIDAS NÃO ALCOÓLICAS;19555;ÁGUA MINERAL NATURAL;445485;TIPO EMBALAGEM: RETORNÁVEL, MATERIAL EMBALAGEM: PLÁSTICO, TIPO: SEM GÁS;GRR;1459,0000;14,9200;21768,2800;0,0000;13/02/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;46;Material;170166-90008/2023;Aquisição de bebedouros.;CNBS (Catálogo Nacional de Bens e Serviços);Material;4110;EQUIPAMENTO PARA REFRIGERAÇÃO;13629;REFRIGERADOR DOMÉSTICO;478514;CAPACIDADE: 300 A 350, VOLTAGEM: BIVOLT, CARACTERÍSTICAS ADICIONAIS: FROST FREE, PRATELEIRAS REMOVÍVEIS, CONTROLE TEMPE, TIPO: VERTICAL / O1 PORTA;UN;20,0000;2230,0000;44600,0000;0,0000;03/07/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;47;Material;170166-90008/2023;Aquisição de bebedouros.;CNBS (Catálogo Nacional de Bens e Serviços);Material;4110;EQUIPAMENTO PARA REFRIGERAÇÃO;13629;REFRIGERADOR DOMÉSTICO;6165;NOME: REFRIGERADOR DOMESTICO / GELADEIRA;UN;1,0000;1700,0000;1700,0000;0,0000;03/07/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;48;Material;170166-90008/2023;Aquisição de bebedouros.;CNBS (Catálogo Nacional de Bens e Serviços);Material;4110;EQUIPAMENTO PARA REFRIGERAÇÃO;3492;BEBEDOURO ÁGUA GARRAFÃO;448836;MATERIAL: AÇO INOXIDÁVEL, CAPACIDADE: 20, TIPO: TORRE, CARACTERÍSTICAS ADICIONAIS: 2 TORNEIRAS, VOLTAGEM: 127;UN;3,0000;600,0000;1800,0000;0,0000;03/07/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;49;Material;170166-90008/2023;Aquisição de bebedouros.;CNBS (Catálogo Nacional de Bens e Serviços);Material;4110;EQUIPAMENTO PARA REFRIGERAÇÃO;;;;;-;0,0000;0,0000;3000,0000;0,0000;03/07/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;50;Material;170166-90008/2023;Aquisição de bebedouros.;CNBS (Catálogo Nacional de Bens e Serviços);Material;4110;EQUIPAMENTO PARA REFRIGERAÇÃO;784;FRIGOBAR;400722;CAPACIDADE: 120, COR: BRANCA, CARACTERÍSTICAS ADICIONAIS: SELO PROCEL, TENSÃO ALIMENTAÇÃO: 220;UN;5,0000;900,0000;4500,0000;0,0000;03/07/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;51;Material;170166-90008/2023;Aquisição de bebedouros.;CNBS (Catálogo Nacional de Bens e Serviços);Material;4110;EQUIPAMENTO PARA REFRIGERAÇÃO;;;;;-;0,0000;0,0000;10000,0000;0,0000;03/07/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;52;Obras e Serviços de Engenharia;170166-90005/2023;Reforma Telhado Bloco A da GRA/SC;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;833;SERVIÇOS DE ENGENHARIA;;;22225;SERVIÇO ENGENHARIA;UN;1,0000;95000,0000;95000,0000;0,0000;03/07/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;53;Obras e Serviços de Engenharia;170166-90006/2023;Instalação Sistema Fotovoltaico na GRA/SC.;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;833;SERVIÇOS DE ENGENHARIA;;;22225;SERVIÇO ENGENHARIA;UN;1,0000;400000,0000;400000,0000;0,0000;03/07/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;54;Serviço;170166-90003/2023;Manutenção de elevador;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;871;SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS;;;;;-;0,0000;0,0000;12000,0000;0,0000;03/07/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;55;Material;170166-90009/2023;Aquisição de bens para PFN/SC.;CNBS (Catálogo Nacional de Bens e Serviços);Material;5805;EQUIPAMENTO TELEFÔNICO E TELEGRÁFICO;1245;APARELHO TELEFÔNICO DIGITAL;344134;FUNÇÃO: FLASH, MUTE E MULTILINHA, SINALIZAÇÃO LINHA: PADRÃO 2B + D, ALIMENTAÇÃO: 48, COMPRIMENTO: 231, LARGURA: 159, ALTURA: 102, PESO: 670, MODELO: DIALOG 4222 OFFICE;UN;6,0000;120,0000;720,0000;0,0000;03/07/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;56;Material;170166-90007/2023;Aquisição ferramentas para manutenção predial da GRA/SC.;CNBS (Catálogo Nacional de Bens e Serviços);Material;3450;MÁQUINAS-FERRAMENTA PORTÁTEIS;;;;;-;0,0000;0,0000;5000,0000;0,0000;31/03/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;57;Serviço;170166-90002/2023;Limpeza, asseio e conservação;CNBS (Catálogo Nacional de Bens e Serviços);Serviço;853;SERVIÇOS DE LIMPEZA;;;;;-;0,0000;0,0000;562418,9200;0,0000;30/06/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;68;Material;170166-90042/2023;Materiais e Equipamentos de Proteção Individual;CNBS (Catálogo Nacional de Bens e Serviços);Material;4240;EQUIPAMENTO PARA SEGURANÇA E SALVAMENTO;1372;CAPACETE SEGURANÇA;468649;MATERIAL: POLIETILENO ALTA DENSIDADE, COR: PRETA, CARACTERÍSTICAS ADICIONAIS: CLASSE B, COM ABA FRONTAL, COPA COM ESTRIAS;UN;12,0000;72,6500;871,8000;0,0000;29/12/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;69;Material;170166-90042/2023;Materiais e Equipamentos de Proteção Individual;CNBS (Catálogo Nacional de Bens e Serviços);Material;4240;EQUIPAMENTO PARA SEGURANÇA E SALVAMENTO;3848;BOTINA SEGURANÇA;399245;MATERIAL: COURO, MATERIAL SOLA: BORRACHA, MODELO: COM CADARÇO, TIPO SOLA: ANTIDERRAPANTE, CARACTERÍSTICAS ADICIONAIS: CALCANHEIRA PU PERSONALIZADO E REMOVÍVEL, TAMANHO: 41, COR: MARROM ESCURO;UN;12,0000;257,6000;3091,2000;0,0000;29/12/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;70;Material;170166-90042/2023;Materiais e Equipamentos de Proteção Individual;CNBS (Catálogo Nacional de Bens e Serviços);Material;8415;VESTUÁRIO PARA FINS ESPECIAIS;13413;SAPATO SEGURANÇA;403750;MATERIAL: COURO VAQUETA, MATERIAL SOLA: PVC MONODENSIDADE, TAMANHO: 43, CARACTERÍSTICAS ADICIONAIS: COM BIQUEIRA, SEM CADARÇO;UN;2,0000;189,9100;379,8200;0,0000;29/12/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;71;Material;170166-90042/2023;Materiais e Equipamentos de Proteção Individual;CNBS (Catálogo Nacional de Bens e Serviços);Material;4240;EQUIPAMENTO PARA SEGURANÇA E SALVAMENTO;1377;ÓCULOS PROTEÇÃO;450515;MATERIAL ARMAÇÃO: POLICARBONATO, TIPO PROTEÇÃO: LATERAL/FRONTAL, TIPO LENTE: ANTI-RISCO, COR LENTE: INCOLOR, APLICAÇÃO: PROTEÇÃO GERAL, CARACTERÍSTICAS ADICIONAIS: COM HASTE DOBRÁVEL E REGULÁVEL;UN;12,0000;44,9900;539,8800;0,0000;29/12/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;72;Material;170166-90042/2023;Materiais e Equipamentos de Proteção Individual;CNBS (Catálogo Nacional de Bens e Serviços);Material;4240;EQUIPAMENTO PARA SEGURANÇA E SALVAMENTO;1214;PROTETOR AURICULAR;337283;TIPO CONCHA: PLUG DE TRÊS FLANGES, MATERIAL: SILICONE, CARACTERÍSTICAS ADICIONAIS: ANTI-ALÉRGICO/ATÓXICO;UN;8,0000;125,9900;1007,9200;0,0000;29/12/2023
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - SC;170166;73;Material;170166-90042/2023;Materiais e Equipamentos de Proteção Individual;CNBS (Catálogo Nacional de Bens e Serviços);Material;4240;EQUIPAMENTO PARA SEGURANÇA E SALVAMENTO;1214;PROTETOR AURICULAR;337283;TIPO CONCHA: PLUG DE TRÊS FLANGES, MATERIAL: SILICONE, CARACTERÍSTICAS ADICIONAIS: ANTI-ALÉRGICO/ATÓXICO;UN;50,0000;2,8900;144,5000;0,0000;29/12/2023
